Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio,Legal_status_Sale contract,Legal_status_Unknown,Furniture_state_Full,Furniture_state_Unknown,Price_log
100.0,4.5,7.5,3.0,4.0,4.0,8.49,1,0,0,0,0,20.0,20.0,0.04455445544554455,False,False,True,False,2.2502386126218363
120.0,6.0,7.5,4.0,3.0,3.0,5.85,0,0,0,1,1,30.0,30.0,0.049586776859504134,False,False,False,True,1.9242486522741338
78.0,4.5,5.5,3.0,3.0,3.0,5.8,1,1,0,0,0,19.5,19.5,0.056962025316455694,False,False,True,False,1.916922612182061
132.0,4.0,7.5,2.0,3.0,2.0,7.0,0,0,0,0,0,33.0,44.0,0.03007518796992481,False,True,False,True,2.0794415416798357
102.0,4.5,3.5,1.0,2.0,1.5,6.8,1,0,0,0,0,34.0,40.8,0.043689320388349516,False,False,False,True,2.0541237336955462
101.0,6.5,3.5,3.0,4.0,3.0,6.6,0,0,0,0,0,20.2,25.25,0.06372549019607843,False,False,False,True,2.028148247292285
81.0,6.5,7.5,1.0,1.5,1.5,5.8,0,0,0,0,0,32.4,32.4,0.07926829268292683,False,True,False,True,1.916922612182061
35.0,4.5,5.5,5.0,4.0,3.0,3.5,1,1,0,0,0,7.0,8.75,0.125,False,False,False,True,1.5040773967762742
75.0,5.0,7.5,3.0,3.0,3.0,7.7,0,0,0,0,0,18.75,18.75,0.06578947368421052,False,False,True,False,2.163323025660538
62.0,4.5,5.5,4.0,5.5,4.0,6.9,1,1,0,0,0,9.538461538461538,12.4,0.07142857142857142,False,False,False,True,2.066862759472976
100.0,6.5,7.5,3.0,3.0,3.0,3.9,0,0,0,1,1,25.0,25.0,0.06435643564356436,False,False,False,True,1.589235205116581
42.0,3.3,5.0,4.0,5.0,4.0,8.8,0,0,0,0,0,7.0,8.4,0.07674418604651162,False,False,True,False,2.2823823856765264
140.0,5.0,6.0,4.0,4.0,4.0,9.3,0,0,0,0,0,28.0,28.0,0.03546099290780142,False,False,True,False,2.33214389523559
140.0,6.5,7.5,3.0,5.0,4.0,9.7,0,0,0,0,0,23.333333333333332,28.0,0.04609929078014184,False,False,False,False,2.3702437414678603
75.0,5.0,7.5,5.0,3.0,3.0,8.6,0,0,0,1,1,18.75,18.75,0.06578947368421052,False,False,False,False,2.2617630984737906
78.0,6.0,5.5,5.0,3.0,3.0,9.4,0,1,0,1,1,19.5,19.5,0.0759493670886076,False,False,False,False,2.341805806147327
33.0,4.5,3.5,5.0,3.0,4.0,4.15,0,0,0,0,0,8.25,6.6,0.1323529411764706,False,False,True,False,1.6389967146756448
31.0,4.5,5.5,5.0,3.0,3.0,2.9,1,1,0,1,1,7.75,7.75,0.140625,False,False,False,True,1.3609765531356006
83.6,4.5,5.5,4.0,4.0,5.0,8.6,1,1,0,0,0,16.72,13.933333333333332,0.05319148936170213,False,False,False,True,2.2617630984737906
