Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Legal_status,Furniture_state,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio
116.8,4.5,5.5,3.0,3.0,2.0,Have certificate,Unknown,7.3,1,1,1,0,0,29.2,38.93333333333333,0.038200339558573854
56.0,5.0,7.5,5.0,3.0,3.0,Unknown,Unknown,7.6,0,0,0,1,1,14.0,14.0,0.08771929824561403
64.0,4.0,6.0,5.0,5.5,5.5,Have certificate,Full,5.98,0,0,0,0,0,9.846153846153847,9.846153846153847,0.06153846153846154
65.0,5.5,7.0,3.0,3.0,3.0,Have certificate,Full,4.7,0,0,0,0,0,16.25,16.25,0.08333333333333333
50.0,4.5,5.5,4.0,4.0,4.0,Unknown,Unknown,7.0,1,1,0,0,0,10.0,10.0,0.08823529411764706
100.0,5.0,5.5,3.0,3.0,3.0,Unknown,Unknown,2.15,0,1,1,1,1,25.0,25.0,0.04950495049504951
70.0,6.5,5.5,3.0,3.0,3.0,Unknown,Unknown,9.6,0,1,1,1,1,17.5,17.5,0.09154929577464789
55.0,5.0,3.5,5.0,4.0,5.0,Have certificate,Full,6.8,0,0,0,0,0,11.0,9.166666666666666,0.08928571428571429
37.0,4.0,5.5,6.0,3.0,3.0,Have certificate,Full,5.6,0,1,0,0,0,9.25,9.25,0.10526315789473684
45.0,3.5,3.5,4.0,4.0,3.0,Have certificate,Basic,4.95,0,0,0,0,0,9.0,11.25,0.07608695652173914
30.0,6.0,3.5,6.0,3.0,4.0,Have certificate,Basic,4.6,0,0,0,0,0,7.5,6.0,0.1935483870967742
67.5,4.5,5.5,4.0,4.0,4.0,Have certificate,Unknown,4.5,1,1,0,0,0,13.5,13.5,0.06569343065693431
140.0,6.5,7.5,3.0,3.0,3.0,Have certificate,Unknown,10.0,0,0,0,1,1,35.0,35.0,0.04609929078014184
45.0,4.5,5.5,5.0,3.0,4.0,Have certificate,Full,5.7,1,1,0,0,0,11.25,9.0,0.09782608695652174
46.5,5.0,5.5,3.0,3.0,3.0,Unknown,Unknown,2.8,0,1,0,0,1,11.625,11.625,0.10526315789473684
68.0,4.0,5.0,1.0,3.0,3.0,Have certificate,Unknown,2.8,0,0,0,0,0,17.0,17.0,0.057971014492753624
120.0,4.5,5.5,3.0,3.0,3.0,Have certificate,Unknown,7.0,1,1,1,1,1,30.0,30.0,0.0371900826446281
40.0,4.5,5.5,2.0,2.0,2.0,Have certificate,Unknown,1.38,1,1,0,0,0,13.333333333333334,13.333333333333334,0.10975609756097561
120.0,4.5,5.5,5.0,3.0,3.0,Have certificate,Unknown,8.0,1,1,0,1,1,30.0,30.0,0.0371900826446281
98.0,6.5,7.5,3.0,3.0,3.0,Sale contract,Basic,6.9,0,0,1,1,1,24.5,24.5,0.06565656565656566
80.0,4.5,7.5,3.0,4.0,4.0,Have certificate,Full,1.5,1,0,0,0,0,16.0,16.0,0.05555555555555555
32.0,4.5,5.5,5.0,3.0,4.0,Have certificate,Full,5.7,1,1,0,0,0,8.0,6.4,0.13636363636363635
75.0,6.5,3.5,1.0,3.0,1.5,Have certificate,Full,2.35,0,0,0,0,0,18.75,30.0,0.08552631578947369
90.0,6.0,7.5,3.0,3.0,4.0,Have certificate,Unknown,5.8,0,0,0,0,0,22.5,18.0,0.06593406593406594
86.0,4.0,3.5,2.0,5.5,2.0,Unknown,Unknown,7.6,0,0,0,0,0,13.23076923076923,28.666666666666668,0.04597701149425287
70.0,4.5,5.5,3.0,4.0,4.0,Have certificate,Unknown,2.7,1,1,1,0,0,14.0,14.0,0.06338028169014084
120.0,5.0,5.5,5.0,3.0,3.0,Have certificate,Unknown,10.0,0,1,0,1,1,30.0,30.0,0.04132231404958678
41.8,4.5,5.5,3.0,3.0,3.0,Unknown,Unknown,2.85,1,1,0,0,1,10.45,10.45,0.10514018691588786
48.6,4.5,5.5,3.0,2.0,2.0,Unknown,Unknown,2.95,1,1,1,0,0,16.2,16.2,0.0907258064516129
56.0,4.5,7.0,3.0,3.0,3.0,Unknown,Unknown,4.65,1,0,0,0,0,14.0,14.0,0.07894736842105263
32.0,4.5,7.5,3.0,3.0,4.0,Unknown,Unknown,3.6,1,0,0,0,0,8.0,6.4,0.13636363636363635
